Mixture fraction, Flame Speed (reduced mechanism) [m/s], Adiabatic flame temperature (reduced mechanism) [K], Flame Speed (complete mechanism) [m/s], Adiabatic flame temperature (complete mechanism) [K]
0,-1,300,-1,300
0.01,-1,767.404,-1,767.404
0.02,-1,1174.22,-1,1174.22
0.03,0.0617583,1536.34,0.0669724,1536.34
0.04,0.203378,1860.64,0.204933,1860.64
0.05,0.343701,2135.52,0.338308,2135.52
0.06,0.401814,2214.01,0.382956,2214.01
0.07,0.294427,2065.4,0.254269,2065.4
0.08,0.115856,1912.28,0.105189,1912.28
0.09,0.0688392,1766.12,0.0668028,1766.12
0.1,0.0461853,1626.41,0.045991,1626.41
0.11,0.0327251,1492.46,0.0328939,1492.46
0.12,0.0244256,1363.73,0.0246642,1363.73
0.13,0.0185767,1239.8,0.0190505,1239.8
0.14,0.014493,1121.11,0.0150403,1121.11
0.16,-1,976.768,0.0101167,976.768
0.17,-1,954.108,0.00849124,954.108
0.18,-1,939.311,-1,939.311
0.19,-1,928.057,-1,928.057
0.2,-1,918.77,-1,918.77
0.21,-1,910.719,-1,910.719
0.22,-1,903.513,-1,903.513
0.23,-1,896.914,-1,896.914
0.24,-1,890.772,-1,890.772
0.25,-1,884.982,-1,884.982
0.26,-1,879.471,-1,879.471
0.27,-1,874.184,-1,874.184
0.28,-1,869.078,-1,869.078
0.29,-1,864.121,-1,864.121
0.3,-1,859.286,-1,859.286
0.31,-1,854.551,-1,854.551
0.32,-1,849.898,-1,849.898
0.33,-1,845.312,-1,845.312
0.34,-1,840.778,-1,840.778
0.35,-1,836.286,-1,836.286
0.36,-1,831.824,-1,831.824
0.37,-1,827.384,-1,827.384
0.38,-1,822.955,-1,822.955
0.39,-1,818.531,-1,818.531
0.4,-1,814.103,-1,814.103
0.41,-1,809.663,-1,809.663
0.42,-1,805.205,-1,805.205
0.43,-1,800.722,-1,800.722
0.44,-1,796.206,-1,796.206
0.45,-1,791.651,-1,791.651
0.46,-1,787.049,-1,787.049
0.47,-1,782.393,-1,782.393
0.48,-1,777.676,-1,777.676
0.49,-1,772.89,-1,772.89
0.5,-1,768.027,-1,768.027
0.51,-1,763.079,-1,763.079
0.52,-1,758.037,-1,758.037
0.53,-1,752.891,-1,752.891
0.54,-1,747.633,-1,747.633
0.55,-1,742.252,-1,742.252
0.56,-1,736.738,-1,736.738
0.57,-1,731.078,-1,731.078
0.58,-1,725.262,-1,725.262
0.59,-1,719.278,-1,719.278
0.6,-1,713.114,-1,713.114
0.61,-1,706.756,-1,706.756
0.62,-1,700.195,-1,700.195
0.63,-1,693.418,-1,693.418
0.64,-1,686.415,-1,686.415
0.65,-1,679.178,-1,679.178
0.66,-1,671.701,-1,671.701
0.67,-1,663.978,-1,663.978
0.68,-1,656.009,-1,656.009
0.69,-1,647.794,-1,647.794
0.7,-1,639.336,-1,639.336
0.71,-1,630.642,-1,630.642
0.72,-1,621.717,-1,621.717
0.73,-1,612.568,-1,612.568
0.74,-1,603.203,-1,603.203
0.75,-1,593.629,-1,593.629
0.76,-1,583.85,-1,583.85
0.77,-1,573.872,-1,573.872
0.78,-1,563.698,-1,563.698
0.79,-1,553.33,-1,553.33
0.8,-1,542.771,-1,542.771
0.81,-1,532.022,-1,532.022
0.82,-1,521.086,-1,521.086
0.83,-1,509.967,-1,509.967
0.84,-1,498.668,-1,498.668
0.85,-1,487.195,-1,487.195
0.86,-1,475.555,-1,475.555
0.87,-1,463.756,-1,463.756
0.88,-1,451.807,-1,451.807
0.89,-1,439.718,-1,439.718
0.9,-1,427.499,-1,427.499
0.91,-1,415.159,-1,415.159
0.92,-1,402.708,-1,402.708
0.93,-1,390.154,-1,390.154
0.94,-1,377.506,-1,377.506
0.95,-1,364.769,-1,364.769
0.96,-1,351.951,-1,351.951
0.97,-1,339.059,-1,339.059
0.98,-1,326.097,-1,326.097
0.99,-1,313.074,-1,313.074
1,-1,299.998,-1,299.998
