Mixture fraction,Equivalence ratio (reduced mechanism),Flame Speed (reduced mechanism) [m/s],Adiabatic flame temperature (reduced mechanism) [K],Maximum temperature (reduced mechanism) [K],Z_max (reduced mechanism) [m],Flame Speed (complete mechanism) [m/s],Adiabatic flame temperature (complete mechanism) [K],Maximum temperature (complete mechanism) [K],Z_max (complete mechanism) [m]
0,0,-1,300,-1,-1,-1,300,-1,-1
0.01,0.18127,-1,767.404,-1,-1,-1,767.404,-1,-1
0.02,0.362539,-1,1174.22,-1,-1,-1,1174.22,-1,-1
0.03,0.543809,0.0617583,1536.34,1510.53,0.09,0.0669724,1536.34,1534.02,0.09
0.04,0.725079,0.203378,1860.64,1841.59,0.09,0.204933,1860.64,1859.46,0.09
0.05,0.906349,0.343701,2135.52,2121.93,0.085,0.338308,2135.52,2136.98,0.085
0.06,1.08762,0.401814,2214.01,2219.28,0.09,0.382956,2214.01,2220.15,0.09
0.07,1.26889,0.294427,2065.4,2073.11,0.09,0.254269,2065.4,2068.09,0.09
0.08,1.45016,0.115856,1912.28,1929.65,0.054375,0.105189,1912.28,1922.55,0.05375
0.09,1.63143,0.0688392,1766.12,1812.89,0.05375,0.0668028,1766.12,1809.69,0.0534375
0.1,1.8127,0.0461853,1626.41,1713.14,0.055,0.045991,1626.41,1715.54,0.054375
0.11,1.99397,0.0327251,1492.46,1626.63,0.056875,0.0328939,1492.46,1636.92,0.05625
0.12,2.17524,0.0244256,1363.73,1556.53,0.06,0.0246642,1363.73,1574.8,0.058125
0.13,2.35651,0.0185767,1239.8,1498.51,0.06375,0.0190505,1239.8,1524.27,0.06
0.14,2.53778,0.014493,1121.11,1451.45,0.0675,0.0150403,1121.11,1483.18,0.0625
0.15,2.71905,0.0115023,1023.3,1412.43,0.0725,0.012267,1023.3,1449.46,0.06625
0.16,2.90032,-1,976.768,-1,-1,0.0101167,976.768,1419.9,0.07
0.17,3.08159,-1,954.108,-1,-1,0.00849124,954.108,1393.96,0.07375
0.18,3.26285,-1,939.311,-1,-1,-1,939.311,-1,-1
0.19,3.44412,-1,928.057,-1,-1,-1,928.057,-1,-1
0.2,3.62539,-1,918.77,-1,-1,-1,918.77,-1,-1
0.21,3.80666,-1,910.719,-1,-1,-1,910.719,-1,-1
0.22,3.98793,-1,903.513,-1,-1,-1,903.513,-1,-1
0.23,4.1692,-1,896.914,-1,-1,-1,896.914,-1,-1
0.24,4.35047,-1,890.772,-1,-1,-1,890.772,-1,-1
0.25,4.53174,-1,884.982,-1,-1,-1,884.982,-1,-1
0.26,4.71301,-1,879.471,-1,-1,-1,879.471,-1,-1
0.27,4.89428,-1,874.184,-1,-1,-1,874.184,-1,-1
0.28,5.07555,-1,869.078,-1,-1,-1,869.078,-1,-1
0.29,5.25682,-1,864.121,-1,-1,-1,864.121,-1,-1
0.3,5.43809,-1,859.286,-1,-1,-1,859.286,-1,-1
0.31,5.61936,-1,854.551,-1,-1,-1,854.551,-1,-1
0.32,5.80063,-1,849.898,-1,-1,-1,849.898,-1,-1
0.33,5.9819,-1,845.312,-1,-1,-1,845.312,-1,-1
0.34,6.16317,-1,840.778,-1,-1,-1,840.778,-1,-1
0.35,6.34444,-1,836.286,-1,-1,-1,836.286,-1,-1
0.36,6.52571,-1,831.824,-1,-1,-1,831.824,-1,-1
0.37,6.70698,-1,827.384,-1,-1,-1,827.384,-1,-1
0.38,6.88825,-1,822.955,-1,-1,-1,822.955,-1,-1
0.39,7.06952,-1,818.531,-1,-1,-1,818.531,-1,-1
0.4,7.25079,-1,814.103,-1,-1,-1,814.103,-1,-1
0.41,7.43206,-1,809.663,-1,-1,-1,809.663,-1,-1
0.42,7.61333,-1,805.205,-1,-1,-1,805.205,-1,-1
0.43,7.7946,-1,800.722,-1,-1,-1,800.722,-1,-1
0.44,7.97587,-1,796.206,-1,-1,-1,796.206,-1,-1
0.45,8.15714,-1,791.651,-1,-1,-1,791.651,-1,-1
0.46,8.33841,-1,787.049,-1,-1,-1,787.049,-1,-1
0.47,8.51968,-1,782.393,-1,-1,-1,782.393,-1,-1
0.48,8.70095,-1,777.676,-1,-1,-1,777.676,-1,-1
0.49,8.88222,-1,772.89,-1,-1,-1,772.89,-1,-1
0.5,9.06349,-1,768.027,-1,-1,-1,768.027,-1,-1
0.51,9.24476,-1,763.079,-1,-1,-1,763.079,-1,-1
0.52,9.42603,-1,758.037,-1,-1,-1,758.037,-1,-1
0.53,9.60729,-1,752.891,-1,-1,-1,752.891,-1,-1
0.54,9.78856,-1,747.633,-1,-1,-1,747.633,-1,-1
0.55,9.96983,-1,742.252,-1,-1,-1,742.252,-1,-1
0.56,10.1511,-1,736.738,-1,-1,-1,736.738,-1,-1
0.57,10.3324,-1,731.078,-1,-1,-1,731.078,-1,-1
0.58,10.5136,-1,725.262,-1,-1,-1,725.262,-1,-1
0.59,10.6949,-1,719.278,-1,-1,-1,719.278,-1,-1
0.6,10.8762,-1,713.114,-1,-1,-1,713.114,-1,-1
0.61,11.0575,-1,706.756,-1,-1,-1,706.756,-1,-1
0.62,11.2387,-1,700.195,-1,-1,-1,700.195,-1,-1
0.63,11.42,-1,693.418,-1,-1,-1,693.418,-1,-1
0.64,11.6013,-1,686.415,-1,-1,-1,686.415,-1,-1
