Mixture fraction, Equivalence ratio (reduced mechanism 93), Flame Speed (reduced mechanism 93) [m/s], Adiabatic flame temperature (reduced mechanism 93) [K], Maximum temperature (reduced mechanism 93) [K], Z_max (reduced mechanism 93) [m], Ignition delay time (reduced mechanism 93) [s], Flame Speed (complete mechanism) [m/s], Adiabatic flame temperature (complete mechanism) [K], Maximum temperature (complete mechanism) [K], Z_max (complete mechanism) [m], Ignition delay time (complete mechanism) [s]
0,0,0.3,300,300,0,0,0.3,300,300,0,0
0.005,0.0906016,0,541.332,0,0,-nan,0,541.332,0,0,-nan
0.01,0.181203,0,767.407,0,0,-nan,0,767.407,0,0,-nan
0.015,0.271805,0,977.383,0,0,-nan,0,977.383,0,0,-nan
0.02,0.362406,0,1174.22,0,0,-nan,0,1174.22,0,0,-nan
0.025,0.453008,0.0195511,1360.21,1337.49,0.09,4.60332,0.022783,1360.21,1358.11,0.09,3.95032
0.03,0.54361,0.0598088,1536.35,1506.1,0.09,1.5048,0.067147,1536.35,1534.89,0.09,1.34034
0.035,0.634211,0.123472,1703.2,1673.45,0.09,0.728912,0.132782,1703.2,1702.95,0.09,0.677803
0.04,0.724813,0.19843,1860.62,1832.69,0.09,0.45356,0.207713,1860.62,1862.65,0.09,0.433289
0.045,0.815414,0.274576,2006.83,1980.79,0.085,0.309568,0.281705,2006.83,2010.85,0.085,0.301734
0.05,0.906016,0.34104,2135.38,2112.11,0.085,0.249237,0.344,2135.38,2139.78,0.09,0.261628
0.055,0.996618,0.387052,2223.47,2209.6,0.0999609,0.258262,0.382388,2223.47,2228.59,0.0975,0.254977
0.0551867,1,0.388259,2225.23,2212.07,0.0999609,0.25746,0.383278,2225.23,2230.42,0.095,0.247862
0.06,1.08722,0.402985,2214.54,2219.37,0.0998438,0.24776,0.388033,2214.54,2218.59,0.09,0.231939
0.065,1.17782,0.377424,2144.2,2150.98,0.09,0.238459,0.347091,2144.2,2145.55,0.09,0.259298
0.07,1.26842,0.298926,2066.23,2074.1,0.09,0.301078,0.252031,2066.23,2065.35,0.09,0.3571
0.075,1.35902,0.185302,1988.83,1997.29,0.09,0.485693,0.150533,1988.83,1987.76,0.095,0.63109
0.08,1.44963,0.116683,1913.11,1929.33,0.054375,0.466006,0.1063,1913.11,1921.85,0.05375,0.505645
0.085,1.54023,0.0880555,1839.17,1869.87,0.0534375,0.606861,0.0838115,1839.17,1863.51,0.053125,0.633863
0.09,1.63083,0.0694906,1766.94,1812.89,0.05375,0.773486,0.067853,1766.94,1809.57,0.05375,0.792153
0.095,1.72143,0.0565109,1696.32,1761.06,0.054375,0.962203,0.0560855,1696.32,1760.62,0.0540625,0.96393
0.1,1.81203,0.0467133,1627.21,1712.88,0.055,1.1774,0.0468069,1627.21,1715.48,0.054375,1.16169
0.105,1.90263,0.0391004,1559.54,1668.12,0.055625,1.42262,0.0393315,1559.54,1674.04,0.055,1.39837
0.11,1.99324,0.0331618,1493.24,1626.96,0.056875,1.71507,0.0335127,1493.24,1637.1,0.05625,1.67847
0.115,2.08384,0.0285482,1428.24,1590.59,0.058125,2.03603,0.0290162,1428.24,1605.17,0.056875,1.96011
0.12,2.17444,0.0247787,1364.49,1557.31,0.06,2.42143,0.0251401,1364.49,1575.17,0.058125,2.31205
0.125,2.26504,0.0215858,1301.94,1527.21,0.06125,2.83751,0.0219687,1301.94,1548.47,0.059375,2.70271
0.13,2.35564,0.0188923,1240.54,1499.55,0.06375,3.37439,0.0194074,1240.54,1524.83,0.06,3.0916
0.135,2.44624,0.0166024,1180.35,1474.63,0.065,3.91511,0.0171704,1180.35,1503.19,0.06125,3.56719
0.14,2.53684,0.0147284,1121.79,1452.35,0.0675,4.58299,0.0153245,1121.79,1483.46,0.06375,4.16001
0.145,2.62745,0.01312,1067.19,1432.06,0.07,5.33538,0.0138167,1067.19,1466.17,0.065,4.70446
0.15,2.71805,0.0116857,1023.45,1413.13,0.0725,6.20416,0.0124927,1023.45,1449.8,0.06625,5.30311
0.155,2.80865,0,994.81,0,0,-nan,0.0113266,994.81,1434.48,0.0675,5.95945
0.16,2.89925,0,976.445,0,0,-nan,0.0102833,976.445,1420.14,0.07,6.80715
0.165,2.98985,0,963.537,0,0,-nan,0,963.537,0,0,-nan
0.17,3.08045,0,953.66,0,0,-nan,0.00859614,953.66,1394.15,0.07375,8.57944
0.175,3.17106,0,945.631,0,0,-nan,0,945.631,0,0,-nan
0.18,3.26166,0,938.823,0,0,-nan,0,938.823,0,0,-nan
0.185,3.35226,0,932.873,0,0,-nan,0,932.873,0,0,-nan
0.19,3.44286,0,927.554,0,0,-nan,0,927.554,0,0,-nan
0.195,3.53346,0,922.719,0,0,-nan,0,922.719,0,0,-nan
