num_reactions,value_diff,value_baseline,ratio
325,0,0.383278,0
177,0.00157971,0.383278,0.00412159
169,0.00172124,0.383278,0.00449085
168,0.00182972,0.383278,0.00477388
167,0.00185028,0.383278,0.00482752
166,0.00184382,0.383278,0.00481065
165,0.00184628,0.383278,0.00481707
164,0.00227895,0.383278,0.00594594
163,0.00228632,0.383278,0.00596516
162,0.00229172,0.383278,0.00597925
161,0.00229218,0.383278,0.00598046
160,0.00234877,0.383278,0.00612811
159,0.00245827,0.383278,0.00641379
158,0.00294613,0.383278,0.00768667
157,0.00322161,0.383278,0.00840541
156,0.00328691,0.383278,0.00857578
155,0.00350048,0.383278,0.009133
154,0.00396899,0.383278,0.0103554
153,0.00427766,0.383278,0.0111607
152,0.00434805,0.383278,0.0113444
151,0.00467677,0.383278,0.012202
150,0.00468026,0.383278,0.0122111
148,0.0047878,0.383278,0.0124917
147,0.00479186,0.383278,0.0125023
146,0.00500017,0.383278,0.0130458
145,0.00464463,0.383278,0.0121182
144,0.00474825,0.383278,0.0123885
143,0.00474833,0.383278,0.0123887
142,0.00460688,0.383278,0.0120197
141,0.00423666,0.383278,0.0110538
140,0.0042367,0.383278,0.0110538
139,0.00291044,0.383278,0.00759356
138,0.0028733,0.383278,0.00749664
137,0.00287755,0.383278,0.00750772
136,0.00247691,0.383278,0.00646244
135,0.00236142,0.383278,0.00616112
134,0.0023615,0.383278,0.00616132
133,0.00236152,0.383278,0.00616138
132,0.00214988,0.383278,0.0056092
131,0.00436674,0.383278,0.0113931
130,0.00378945,0.383278,0.00988694
129,0.00369128,0.383278,0.00963082
128,0.00355377,0.383278,0.00927204
127,0.00301323,0.383278,0.00786173
126,0.00296882,0.383278,0.00774586
125,0.00207275,0.383278,0.00540795
124,0.00118514,0.383278,0.00309212
123,0.000398306,0.383278,0.00103921
122,0.00154284,0.383278,0.00402539
121,0.00130721,0.383278,0.00341061
120,0.00328848,0.383278,0.00857988
119,0.00107257,0.383278,0.0027984
118,0.00137648,0.383278,0.00359133
117,4.93774e-05,0.383278,0.000128829
116,0.00028986,0.383278,0.000756264
115,0.000334463,0.383278,0.000872638
114,0.000635851,0.383278,0.00165898
113,0.00507513,0.383278,0.0132414
112,0.00439222,0.383278,0.0114596
111,0.0056004,0.383278,0.0146118
110,0.00549168,0.383278,0.0143282
109,0.00406499,0.383278,0.0106058
108,0.00428048,0.383278,0.0111681
107,0.00326845,0.383278,0.00852763
106,0.00349493,0.383278,0.00911852
105,0.00297208,0.383278,0.00775438
104,0.00335791,0.383278,0.00876102
103,0.000814003,0.383278,0.00212379
102,0.000795125,0.383278,0.00207454
100,0.000329802,0.383278,0.000860476
99,0.000329132,0.383278,0.000858729
98,0.000329135,0.383278,0.000858737
97,0.000873586,0.383278,0.00227925
96,0.00295405,0.383278,0.00770733
95,0.00294651,0.383278,0.00768764
94,0.000935475,0.383278,0.00244072
93,0.00412221,0.383278,0.0107551
92,0.00425511,0.383278,0.0111019
91,0.00400945,0.383278,0.0104609
90,0.00818612,0.383278,0.0213582
89,0.00818612,0.383278,0.0213582
88,0.00818466,0.383278,0.0213544
87,0.00819037,0.383278,0.0213693
86,0.0110226,0.383278,0.0287587
